|seed |success|  nit  |    gap     |  tau_sum   |   G_norm   |avoid_n|
|  8  |True   |  349  |9.449568e-06|1.033099e-05|6.946138e-10|   0   |
|  2  |True   |  361  |9.608476e-06|1.034179e-05|1.234964e-13|   0   |
|  3  |True   |  371  |9.472109e-06|9.874420e-06|5.806770e-10|   0   |
|  4  |True   |  460  |9.970864e-06|1.342765e-05|9.727635e-10|   5   |
| 10  |True   |  391  |9.002367e-06|9.388312e-06|9.752414e-10|   0   |
|  1  |True   |  407  |9.131737e-06|9.214314e-06|1.355919e-12|   0   |
|  7  |True   |  387  |9.740425e-06|1.009160e-05|6.172164e-12|   0   |
| 12  |True   |  380  |9.614182e-06|9.643246e-06|4.742958e-13|   0   |
|  9  |True   |  509  |9.168243e-06|1.580780e-05|8.527386e-10|   8   |
|  0  |True   |  444  |9.569287e-06|9.606903e-06|2.130380e-13|   0   |
|  6  |True   |  620  |9.272555e-06|1.431567e-05|4.854566e-10|   3   |
|  5  |True   |  516  |9.265529e-06|1.309905e-05|6.205717e-10|   6   |
| 14  |True   |  387  |9.813390e-06|1.012112e-05|2.525192e-13|   0   |
| 13  |True   |  365  |9.649150e-06|9.749015e-06|1.900385e-13|   0   |
| 18  |True   |  356  |9.042118e-06|9.519478e-06|9.836181e-10|   0   |
| 20  |True   |  361  |9.526489e-06|9.928845e-06|9.939952e-10|   0   |
| 16  |True   |  423  |9.837713e-06|1.143185e-05|5.063455e-10|   3   |
| 21  |True   |  519  |9.422536e-06|1.263672e-05|7.331949e-10|   9   |
| 22  |True   |  392  |9.313458e-06|9.330673e-06|9.164991e-10|   0   |
| 24  |True   |  460  |9.445868e-06|1.305223e-05|1.371945e-13|   4   |
| 17  |True   |  618  |9.472605e-06|1.047579e-05|3.435435e-10|  15   |
| 15  |True   |  684  |9.471235e-06|1.127624e-05|6.000364e-10|  11   |
| 11  |True   | 1193  |9.692781e-06|1.142800e-05|9.848821e-10|  26   |
