|seed |success|  nit  |    gap     |  tau_sum   |   G_norm   |avoid_n|
| 10  |True   |  417  |9.414616e-06|9.640825e-06|6.033769e-13|   0   |
|  0  |True   |  409  |9.178838e-06|9.902131e-06|2.420908e-13|   0   |
|  3  |True   |  408  |9.343441e-06|9.560173e-06|2.370904e-13|   0   |
|  6  |True   |  416  |9.745463e-06|9.962347e-06|9.952540e-10|   0   |
|  7  |True   |  406  |9.011674e-06|9.271214e-06|2.373800e-13|   0   |
| 12  |True   |  424  |9.109974e-06|9.346873e-06|4.924365e-13|   0   |
| 11  |True   |  435  |9.643475e-06|9.854010e-06|3.828702e-13|   0   |
|  1  |True   |  448  |9.471443e-06|9.586555e-06|3.137944e-12|   0   |
|  9  |True   |  526  |9.749365e-06|1.110042e-05|2.807643e-13|   3   |
|  5  |True   |  584  |9.028228e-06|9.771479e-06|2.329997e-13|   5   |
|  4  |True   |  451  |9.256246e-06|9.259336e-06|7.304485e-10|   0   |
|  8  |True   |  596  |9.764219e-06|1.048824e-05|4.195805e-13|   6   |
|  2  |True   |  715  |9.699487e-06|1.283359e-05|4.889567e-10|  14   |
| 13  |True   |  544  |9.617119e-06|1.027892e-05|5.596144e-13|   4   |
| 17  |True   |  465  |9.856672e-06|1.195542e-05|7.838196e-10|   2   |
| 18  |True   |  403  |9.670861e-06|9.982608e-06|2.946011e-13|   0   |
| 15  |True   |  460  |9.560555e-06|1.191001e-05|7.620586e-10|   4   |
| 19  |True   |  398  |9.893088e-06|1.018241e-05|1.785306e-13|   0   |
| 21  |True   |  396  |9.457087e-06|9.595451e-06|9.061761e-10|   0   |
| 20  |True   |  549  |9.117765e-06|1.109931e-05|3.396088e-13|   8   |
| 23  |True   |  424  |9.088079e-06|9.393780e-06|9.951674e-10|   0   |
| 14  |True   |  430  |9.476720e-06|9.485281e-06|3.794692e-13|   0   |
| 24  |True   |  419  |9.983651e-06|1.018046e-05|2.165458e-13|   0   |
| 25  |True   |  449  |9.823850e-06|1.018306e-05|2.723268e-13|   0   |
| 22  |True   |  607  |9.480080e-06|1.131865e-05|4.199156e-13|   9   |
| 28  |True   |  380  |9.564286e-06|1.054557e-05|7.638580e-10|   0   |
| 16  |True   |  954  |9.728944e-06|1.572464e-05|6.920654e-10|  21   |
| 27  |True   |  405  |9.080463e-06|9.446387e-06|1.883318e-13|   0   |
| 29  |True   |  460  |9.587547e-06|1.004421e-05|9.603718e-10|   0   |
| 30  |True   |  398  |9.288411e-06|9.433381e-06|2.249672e-13|   0   |
| 31  |True   |  403  |9.048516e-06|9.192243e-06|8.113979e-10|   0   |
| 32  |True   |  412  |9.347686e-06|9.688777e-06|8.741070e-10|   0   |
| 33  |True   |  426  |9.029040e-06|9.217926e-06|2.285627e-13|   0   |
| 35  |True   |  417  |9.905910e-06|1.022579e-05|2.930322e-13|   0   |
| 37  |True   |  374  |9.609460e-06|9.915478e-06|9.773191e-10|   0   |
| 26  |True   |  684  |9.871702e-06|1.624433e-05|2.978293e-13|  16   |
| 34  |True   |  552  |9.212167e-06|9.240908e-06|6.834216e-10|   5   |
