|seed |success|  nit  |    gap     |  tau_sum   |   G_norm   |avoid_n|
|  0  |True   |  363  |9.462858e-06|1.041507e-05|5.986233e-10|   0   |
|  2  |True   |  362  |9.375110e-06|1.020544e-05|7.806470e-10|   0   |
|  6  |True   |  353  |9.593117e-06|1.056937e-05|4.861908e-13|   0   |
|  5  |True   |  351  |9.080504e-06|9.512680e-06|6.158970e-10|   0   |
|  4  |True   |  353  |9.938695e-06|1.028664e-05|7.708318e-10|   0   |
|  9  |True   |  345  |9.107426e-06|9.405770e-06|3.372081e-10|   0   |
|  1  |True   |  387  |9.305359e-06|9.746457e-06|5.528215e-10|   0   |
|  3  |True   |  365  |9.899414e-06|1.004473e-05|3.306576e-13|   0   |
|  8  |True   |  372  |9.898846e-06|1.051023e-05|8.823457e-13|   0   |
| 10  |True   |  402  |9.163766e-06|9.678158e-06|1.136778e-12|   1   |
|  7  |True   |  406  |9.310205e-06|9.639436e-06|9.570316e-10|   1   |
| 12  |True   |  395  |9.449702e-06|9.717139e-06|7.795696e-10|   0   |
| 11  |True   |  558  |9.742783e-06|1.022494e-05|6.429469e-13|  10   |
| 15  |True   |  353  |9.841324e-06|1.095916e-05|4.377932e-13|   0   |
| 13  |True   |  396  |9.227816e-06|9.965111e-06|5.095740e-13|   0   |
| 18  |True   |  350  |9.248524e-06|9.827417e-06|6.055730e-13|   0   |
| 16  |True   |  364  |9.722980e-06|9.870331e-06|9.909449e-10|   0   |
| 19  |True   |  355  |9.784524e-06|1.103908e-05|9.363234e-10|   0   |
| 21  |True   |  356  |9.470225e-06|9.608115e-06|8.035011e-10|   0   |
| 17  |True   |  363  |9.592196e-06|9.720283e-06|6.464276e-10|   0   |
| 20  |True   |  369  |9.352146e-06|9.745282e-06|8.066372e-10|   0   |
| 23  |True   |  377  |9.432362e-06|9.997620e-06|6.281419e-10|   0   |
| 22  |True   |  354  |9.630520e-06|1.010445e-05|6.346586e-10|   0   |
| 14  |True   |  471  |9.273002e-06|1.014895e-05|1.050282e-12|   4   |
| 24  |True   |  358  |9.892596e-06|1.000783e-05|9.621842e-10|   0   |
| 25  |True   |  349  |9.423614e-06|9.827415e-06|9.716865e-10|   0   |
| 32  |True   |  343  |9.699150e-06|1.213261e-05|7.629601e-10|   0   |
| 27  |True   |  354  |9.914631e-06|1.040596e-05|6.614302e-10|   0   |
| 30  |True   |  361  |9.968200e-06|1.094590e-05|4.333946e-13|   0   |
| 28  |True   |  371  |9.058568e-06|9.751340e-06|5.877068e-13|   0   |
| 34  |True   |  370  |9.941910e-06|1.063732e-05|9.508774e-10|   0   |
| 26  |True   |  376  |9.692113e-06|1.015751e-05|2.617880e-13|   0   |
| 37  |True   |  347  |9.098535e-06|1.091935e-05|9.783446e-10|   0   |
| 31  |True   |  363  |9.710569e-06|9.955279e-06|7.305240e-10|   0   |
| 29  |True   |  372  |9.623000e-06|9.710689e-06|3.318700e-13|   0   |
| 33  |True   |  415  |9.472813e-06|1.066905e-05|6.854041e-10|   2   |
| 35  |True   |  388  |9.913367e-06|1.016862e-05|6.516768e-13|   0   |
| 38  |True   |  352  |9.465531e-06|1.005239e-05|2.738608e-12|   0   |
| 36  |True   |  397  |9.878698e-06|9.880809e-06|7.454745e-10|   0   |
| 39  |True   |  348  |9.190681e-06|1.091935e-05|2.447272e-13|   0   |
| 40  |True   |  347  |9.079448e-06|1.110842e-05|7.568242e-10|   0   |
| 43  |True   |  342  |9.096390e-06|1.213261e-05|6.786636e-10|   0   |
| 44  |True   |  342  |9.371198e-06|1.091935e-05|5.495146e-10|   0   |
| 47  |True   |  343  |9.026527e-06|1.348068e-05|9.106272e-10|   0   |
| 42  |True   |  363  |9.070987e-06|9.263624e-06|9.567811e-10|   0   |
| 45  |True   |  364  |9.014570e-06|9.448753e-06|9.486002e-10|   0   |
| 48  |True   |  346  |9.922135e-06|1.213262e-05|4.234796e-13|   0   |
| 49  |True   |  345  |9.752114e-06|1.091935e-05|7.767107e-10|   0   |
| 41  |True   |  385  |9.466876e-06|9.582690e-06|9.063177e-10|   0   |
| 50  |True   |  402  |9.079195e-06|1.044585e-05|8.467384e-10|   2   |
| 46  |True   |  402  |9.476826e-06|1.010295e-05|7.818250e-10|   1   |
| 52  |True   |  373  |9.157307e-06|1.054320e-05|4.748167e-13|   0   |
| 53  |True   |  358  |9.269035e-06|1.018280e-05|3.618598e-13|   0   |
| 54  |True   |  378  |9.488539e-06|1.116955e-05|7.879411e-13|   0   |
| 56  |True   |  356  |9.285797e-06|9.855649e-06|4.963128e-13|   0   |
| 58  |True   |  347  |9.218806e-06|1.091935e-05|9.381623e-10|   0   |
| 57  |True   |  358  |9.412552e-06|1.059980e-05|9.724602e-10|   0   |
| 59  |True   |  357  |9.417534e-06|9.873574e-06|4.224337e-13|   0   |
| 51  |True   |  613  |9.167434e-06|9.811432e-06|4.163221e-13|  15   |
| 55  |True   |  401  |9.535013e-06|9.672044e-06|1.123978e-12|   0   |
| 62  |True   |  374  |9.510774e-06|1.058444e-05|5.915265e-13|   0   |
| 63  |True   |  358  |9.551110e-06|9.760056e-06|8.486009e-10|   0   |
| 60  |True   |  379  |9.203941e-06|9.238081e-06|8.415858e-10|   0   |
| 64  |True   |  353  |9.944421e-06|1.035324e-05|3.313120e-13|   0   |
| 61  |True   |  516  |9.498584e-06|9.592387e-06|8.334271e-10|   5   |
| 67  |True   |  348  |9.045513e-06|9.886575e-06|7.398806e-10|   0   |
| 68  |True   |  339  |9.786903e-06|1.091935e-05|4.031089e-10|   0   |
| 65  |True   |  361  |9.639624e-06|9.962062e-06|3.712662e-13|   0   |
| 66  |True   |  367  |9.546619e-06|9.735969e-06|4.035270e-10|   0   |
| 70  |True   |  346  |9.536255e-06|1.091935e-05|8.106895e-10|   0   |
| 72  |True   |  344  |9.524674e-06|1.213261e-05|8.764856e-10|   0   |
| 73  |True   |  348  |9.574370e-06|1.091935e-05|3.417743e-13|   0   |
| 69  |True   |  365  |9.669727e-06|9.930545e-06|5.700362e-10|   0   |
| 74  |True   |  359  |9.311405e-06|1.015923e-05|6.836909e-13|   0   |
| 71  |True   |  437  |9.263437e-06|9.438694e-06|2.809720e-13|   2   |
| 75  |True   |  355  |9.889888e-06|1.039071e-05|8.189279e-10|   0   |
| 78  |True   |  338  |9.072003e-06|1.091935e-05|3.764812e-10|   0   |
| 76  |True   |  447  |9.698287e-06|1.232177e-05|3.519509e-13|   3   |
| 80  |True   |  376  |9.498637e-06|9.665436e-06|6.300272e-10|   0   |
| 79  |True   |  382  |9.927948e-06|1.030533e-05|6.850403e-13|   0   |
| 81  |True   |  363  |9.035312e-06|9.334713e-06|5.024743e-13|   0   |
| 83  |True   |  359  |9.736067e-06|1.046894e-05|4.094865e-13|   0   |
| 84  |True   |  352  |9.662271e-06|1.005824e-05|4.963333e-10|   0   |
| 77  |True   |  556  |9.813700e-06|1.242247e-05|3.042570e-13|  10   |
| 82  |True   |  356  |9.395301e-06|9.618768e-06|3.808171e-13|   0   |
| 86  |True   |  352  |9.309200e-06|1.024202e-05|3.364367e-13|   0   |
| 85  |True   |  353  |9.682092e-06|1.034370e-05|3.422387e-13|   0   |
| 87  |True   |  358  |9.679013e-06|1.106294e-05|3.908781e-13|   0   |
| 88  |True   |  377  |9.317438e-06|9.593262e-06|9.890592e-10|   0   |
| 90  |True   |  339  |9.482860e-06|1.091936e-05|4.080834e-10|   0   |
| 89  |True   |  360  |9.775312e-06|9.988792e-06|8.801405e-10|   0   |
| 91  |True   |  347  |9.880695e-06|1.213710e-05|9.735760e-10|   0   |
| 93  |True   |  341  |9.409799e-06|1.091935e-05|5.116904e-10|   0   |
| 92  |True   |  393  |9.148099e-06|9.489967e-06|9.195520e-10|   0   |
| 94  |True   |  346  |9.414592e-06|9.827416e-06|7.059017e-10|   0   |
| 97  |True   |  357  |9.582142e-06|1.024801e-05|1.634542e-12|   0   |
| 98  |True   |  343  |9.918799e-06|1.093833e-05|5.339203e-10|   0   |
| 99  |True   |  376  |9.946763e-06|1.056536e-05|6.403493e-10|   0   |
| 100 |True   |  384  |9.319015e-06|9.337706e-06|1.704886e-11|   0   |
| 95  |True   |  616  |9.254974e-06|1.105244e-05|3.990572e-10|  12   |
| 101 |True   |  346  |9.915908e-06|1.091935e-05|8.778822e-10|   0   |
| 96  |True   |  640  |9.225365e-06|9.580745e-06|3.250088e-13|  11   |
| 105 |True   |  372  |9.512936e-06|1.066453e-05|9.931750e-10|   0   |
| 103 |True   |  451  |9.751578e-06|1.013689e-05|7.704730e-13|   3   |
| 108 |True   |  344  |9.788323e-06|1.091935e-05|6.747583e-10|   0   |
| 107 |True   |  353  |9.617632e-06|9.831537e-06|4.673042e-10|   0   |
