|seed |success|  nit  |    gap     |  tau_sum   |   G_norm   |avoid_n|
|  3  |True   |  338  |9.505808e-06|1.497875e-05|7.068339e-10|   0   |
|  0  |True   |  350  |9.764127e-06|1.118877e-05|9.150378e-10|   0   |
|  8  |True   |  355  |9.569627e-06|9.982597e-06|8.999498e-10|   0   |
| 11  |True   |  367  |9.448727e-06|1.027058e-05|6.530067e-10|   0   |
|  7  |True   |  379  |9.721775e-06|1.022768e-05|8.910570e-10|   0   |
|  6  |True   |  382  |9.166430e-06|9.501086e-06|6.055956e-14|   0   |
|  5  |True   |  366  |9.467422e-06|1.005636e-05|5.686222e-14|   0   |
|  2  |True   |  389  |9.867402e-06|1.031738e-05|9.990234e-10|   0   |
|  9  |True   |  392  |9.149131e-06|9.266558e-06|7.817840e-10|   0   |
|  1  |True   |  422  |9.030075e-06|9.253318e-06|7.619507e-10|   0   |
| 10  |True   |  388  |9.329246e-06|9.459761e-06|7.891462e-10|   0   |
| 12  |True   |  408  |9.002499e-06|9.054788e-06|9.894181e-10|   0   |
|  4  |True   |  475  |9.764346e-06|9.780303e-06|9.816428e-10|   0   |
| 13  |True   |  333  |9.241744e-06|1.664291e-05|5.287668e-10|   0   |
| 17  |True   |  351  |9.512934e-06|1.265993e-05|7.123872e-10|   0   |
| 16  |True   |  349  |9.105449e-06|1.032057e-05|5.659294e-10|   0   |
| 15  |True   |  374  |9.520326e-06|1.051507e-05|9.820261e-10|   0   |
| 19  |True   |  347  |9.044535e-06|1.099419e-05|7.640847e-10|   0   |
| 18  |True   |  356  |9.161579e-06|9.305049e-06|9.069375e-10|   0   |
| 24  |True   |  356  |9.623742e-06|1.027129e-05|7.962687e-10|   0   |
| 14  |True   |  415  |9.179116e-06|9.214584e-06|8.767770e-10|   0   |
| 21  |True   |  401  |9.426850e-06|9.671891e-06|5.329605e-14|   0   |
| 20  |True   |  386  |9.941642e-06|1.024482e-05|8.490166e-10|   0   |
| 22  |True   |  383  |9.675057e-06|9.956457e-06|8.053283e-10|   0   |
| 25  |True   |  344  |9.830508e-06|1.213287e-05|8.538818e-10|   0   |
| 26  |True   |  348  |9.446327e-06|1.097334e-05|9.907021e-10|   0   |
| 23  |True   |  410  |9.243168e-06|9.256546e-06|8.766155e-10|   0   |
| 27  |True   |  352  |9.572408e-06|1.057172e-05|6.906200e-10|   0   |
| 28  |True   |  347  |9.905076e-06|1.084185e-05|2.099372e-10|   0   |
| 29  |True   |  348  |9.548540e-06|1.114926e-05|7.776306e-10|   0   |
| 30  |True   |  366  |9.537515e-06|9.865459e-06|8.164917e-10|   0   |
| 35  |True   |  356  |9.362337e-06|1.000995e-05|6.892021e-10|   0   |
| 32  |True   |  367  |9.400052e-06|9.776205e-06|9.380136e-10|   0   |
| 34  |True   |  358  |9.782790e-06|1.029274e-05|2.816011e-10|   0   |
| 31  |True   |  391  |9.382226e-06|9.712404e-06|6.580805e-14|   0   |
| 36  |True   |  378  |9.810123e-06|1.030811e-05|9.174949e-10|   0   |
| 38  |True   |  347  |9.765045e-06|1.229389e-05|9.708198e-10|   0   |
| 37  |True   |  350  |9.795925e-06|1.151002e-05|6.984053e-10|   0   |
| 39  |True   |  340  |9.744842e-06|1.348110e-05|7.135183e-10|   0   |
| 33  |True   |  390  |9.998082e-06|1.009884e-05|1.554980e-13|   0   |
| 40  |True   |  359  |9.462329e-06|1.164129e-05|7.288758e-10|   0   |
| 41  |True   |  365  |9.298111e-06|9.663443e-06|9.883753e-10|   0   |
| 44  |True   |  351  |9.610286e-06|1.095248e-05|5.719475e-10|   0   |
| 42  |True   |  358  |9.299133e-06|1.012055e-05|5.934579e-10|   0   |
| 46  |True   |  348  |9.271966e-06|1.114293e-05|7.415481e-10|   0   |
| 43  |True   |  367  |9.400994e-06|9.609025e-06|9.903151e-10|   0   |
| 49  |True   |  340  |9.732641e-06|1.497867e-05|8.651029e-10|   0   |
| 45  |True   |  356  |9.371020e-06|1.063375e-05|9.993670e-10|   0   |
| 50  |True   |  368  |9.920493e-06|1.035171e-05|7.852769e-10|   0   |
| 48  |True   |  360  |9.121960e-06|9.193069e-06|6.544369e-10|   0   |
| 47  |True   |  397  |9.170576e-06|9.469285e-06|5.962865e-14|   0   |
| 51  |True   |  373  |9.139664e-06|9.505819e-06|7.978342e-10|   0   |
| 52  |True   |  372  |9.651329e-06|9.798352e-06|6.156783e-14|   0   |
| 53  |True   |  356  |9.269145e-06|1.016695e-05|8.339219e-10|   0   |
| 58  |True   |  341  |9.612338e-06|1.348078e-05|7.436210e-10|   0   |
| 57  |True   |  342  |9.608136e-06|1.348091e-05|8.232369e-10|   0   |
| 61  |True   |  378  |9.266823e-06|1.204438e-05|4.935334e-10|   0   |
