|seed |success|  nit  |    gap     |  tau_sum   |   G_norm   |avoid_n|
| 150 |True   |  556  |9.043587e-06|9.641806e-06|1.179162e-10|  17   |
| 26  |True   | 1047  |9.531054e-06|1.028594e-05|8.298918e-10|  49   |
| 189 |True   | 1736  |9.790091e-06|9.823403e-06|5.612992e-10|  93   |
| 160 |True   |  503  |9.960092e-06|9.975713e-06|2.177856e-10|  10   |
| 105 |True   |  303  |9.067990e-06|9.102944e-06|3.862435e-10|   0   |
| 86  |True   |  317  |9.205738e-06|9.259919e-06|5.736604e-10|   0   |
| 177 |True   |  574  |9.915351e-06|1.011960e-05|2.281243e-10|  11   |
| 60  |True   |  332  |9.905206e-06|9.911417e-06|6.735474e-10|   0   |
| 132 |True   |  902  |9.393824e-06|9.747398e-06|8.739757e-10|  37   |
| 157 |True   |  380  |9.829033e-06|9.849343e-06|3.753734e-10|   3   |
| 199 |True   |  320  |9.664767e-06|9.668101e-06|3.483030e-10|   0   |
| 92  |True   |  307  |9.083728e-06|9.137057e-06|3.517176e-10|   0   |
| 76  |True   |  329  |9.052590e-06|9.058875e-06|6.774558e-10|   0   |
| 28  |True   |  303  |9.462479e-06|9.592958e-06|5.723706e-10|   0   |
| 45  |True   |  803  |9.412393e-06|9.439777e-06|4.315205e-10|  29   |
| 146 |True   |  465  |9.178983e-06|9.346902e-06|8.065043e-10|   9   |
| 97  |True   |  308  |9.003744e-06|9.041426e-06|4.264010e-10|   0   |
| 111 |True   |  766  |9.838618e-06|1.008647e-05|8.557880e-10|  30   |
| 172 |True   |  801  |9.081469e-06|9.273607e-06|2.257975e-10|  30   |
| 118 |True   | 1482  |9.368662e-06|1.019169e-05|6.253742e-11|  78   |
| 156 |True   |  300  |9.194451e-06|9.253767e-06|3.630945e-10|   0   |
| 143 |True   |  807  |9.149812e-06|9.397409e-06|1.905757e-10|  24   |
| 159 |True   |  526  |9.098307e-06|9.314071e-06|9.555925e-10|  13   |
| 188 |True   |  303  |9.521327e-06|9.639501e-06|3.540057e-10|   0   |
| 117 |True   |  312  |9.670576e-06|9.689725e-06|3.774499e-10|   0   |
| 54  |True   |  428  |9.963948e-06|1.005762e-05|4.913188e-10|   7   |
| 166 |True   |  446  |9.494538e-06|9.861130e-06|2.411846e-10|   7   |
| 34  |True   | 3526  |9.923790e-06|9.934110e-06|3.459889e-11|  217  |
| 73  |True   |  317  |9.837600e-06|9.898823e-06|5.712712e-10|   0   |
| 36  |True   |  371  |9.257485e-06|9.431167e-06|2.065515e-10|   3   |
| 14  |True   |  614  |9.282095e-06|9.720645e-06|2.059730e-10|  21   |
| 141 |True   | 1483  |9.003700e-06|1.094813e-05|6.811017e-11|  76   |
| 198 |True   |  322  |9.370075e-06|9.404839e-06|4.400905e-10|   0   |
| 136 |True   |  355  |9.110373e-06|9.217233e-06|2.470217e-10|   3   |
| 152 |True   |  326  |9.347500e-06|9.357022e-06|5.644440e-10|   0   |
|  2  |True   |  334  |9.711378e-06|9.784713e-06|3.279523e-10|   0   |
| 178 |True   |  324  |9.982729e-06|1.006332e-05|3.324571e-10|   0   |
