|seed |success|  nit  |    gap     |  tau_sum   |   G_norm   |avoid_n|
|  0  |True   |  482  |9.007376e-06|9.025500e-06|1.572409e-10|   7   |
|  2  |True   |  366  |9.193445e-06|1.026851e-05|4.970244e-10|   0   |
|  1  |True   |  892  |9.540063e-06|1.061699e-05|9.812334e-10|  34   |
|  3  |True   |  331  |9.671239e-06|9.794607e-06|2.449770e-10|   0   |
|  4  |True   |  632  |9.312980e-06|9.973496e-06|1.697452e-12|  17   |
|  5  |True   |  342  |9.418873e-06|1.024256e-05|8.220443e-13|   0   |
|  7  |True   |  327  |9.601466e-06|9.799055e-06|7.588153e-10|   0   |
|  6  |True   |  329  |9.025328e-06|9.173420e-06|6.022385e-10|   0   |
|  8  |True   |  347  |9.425022e-06|9.835773e-06|4.688842e-10|   0   |
|  9  |True   |  810  |9.975314e-06|1.051443e-05|3.809308e-10|  32   |
| 11  |True   |  329  |9.898708e-06|1.003199e-05|3.144257e-10|   0   |
| 12  |True   |  350  |9.159710e-06|9.161788e-06|5.869855e-10|   0   |
| 13  |True   |  572  |9.142996e-06|9.529834e-06|1.617984e-12|  11   |
| 10  |True   | 2027  |9.068301e-06|9.675357e-06|7.970312e-10|  103  |
| 14  |True   |  316  |9.700409e-06|1.091935e-05|6.161718e-10|   0   |
| 15  |True   |  807  |9.204010e-06|9.628108e-06|1.006855e-12|  27   |
| 16  |True   |  313  |9.562691e-06|1.011148e-05|3.545228e-10|   0   |
| 17  |True   |  319  |9.237144e-06|9.944952e-06|8.530190e-13|   0   |
| 18  |True   |  317  |9.727673e-06|1.013728e-05|7.620723e-10|   0   |
| 19  |True   |  315  |9.878300e-06|1.120246e-05|4.750234e-10|   0   |
| 20  |True   |  437  |9.638822e-06|9.743410e-06|4.024924e-10|   3   |
| 21  |True   |  759  |9.904086e-06|1.118876e-05|8.928254e-13|  26   |
| 22  |True   |  376  |9.981519e-06|1.132845e-05|2.081289e-10|   1   |
| 23  |True   |  320  |9.371981e-06|9.751558e-06|2.165275e-10|   0   |
| 24  |True   |  570  |9.630188e-06|1.242211e-05|4.150663e-10|  13   |
| 25  |True   |  331  |9.667377e-06|1.020458e-05|9.018052e-10|   0   |
| 26  |True   |  533  |9.772973e-06|1.021756e-05|6.335220e-10|  10   |
| 27  |True   |  347  |9.843198e-06|1.002631e-05|9.059200e-10|   0   |
| 28  |True   |  426  |9.026741e-06|9.674836e-06|9.281587e-13|   4   |
| 29  |True   |  568  |9.780347e-06|1.033230e-05|1.512062e-12|  14   |
| 30  |True   |  332  |9.021465e-06|9.186888e-06|3.817035e-10|   0   |
| 31  |True   |  338  |9.342572e-06|9.428430e-06|3.162276e-10|   0   |
| 32  |True   |  407  |9.694110e-06|9.742291e-06|6.443783e-10|   2   |
| 34  |True   |  363  |9.686910e-06|9.784383e-06|3.125907e-10|   2   |
| 33  |True   |  336  |9.824519e-06|9.970758e-06|1.820206e-10|   0   |
| 35  |True   |  332  |9.490722e-06|9.823060e-06|3.807983e-10|   0   |
| 37  |True   |  319  |9.943300e-06|1.030855e-05|4.106737e-10|   0   |
| 38  |True   |  328  |9.259141e-06|9.493644e-06|6.445502e-10|   0   |
| 36  |True   | 1467  |9.011262e-06|1.009765e-05|9.489106e-11|  73   |
| 39  |True   |  306  |9.356589e-06|1.001321e-05|5.605368e-10|   0   |
| 40  |True   |  296  |9.199500e-06|1.010131e-05|1.382757e-10|   0   |
| 42  |True   |  324  |9.787177e-06|1.003606e-05|9.333902e-13|   0   |
| 43  |True   |  315  |9.265691e-06|9.275207e-06|3.633571e-10|   0   |
| 44  |True   |  310  |9.272232e-06|1.043203e-05|3.449242e-10|   0   |
| 41  |True   | 1756  |9.559906e-06|9.690612e-06|2.927302e-10|  73   |
| 46  |True   |  327  |9.519157e-06|9.794298e-06|5.239690e-10|   0   |
| 47  |True   |  331  |9.689157e-06|9.890374e-06|7.570708e-10|   0   |
| 45  |True   | 1437  |9.777615e-06|1.063762e-05|1.446106e-10|  64   |
| 49  |True   |  326  |9.798433e-06|1.012501e-05|4.980560e-10|   0   |
| 48  |True   |  412  |9.525527e-06|1.004665e-05|9.840848e-10|   3   |
| 51  |True   |  321  |9.990277e-06|1.016397e-05|3.839507e-10|   0   |
| 50  |True   |  303  |9.878657e-06|1.007619e-05|3.084566e-10|   0   |
| 52  |True   |  345  |9.075969e-06|9.221770e-06|9.854261e-13|   0   |
| 54  |True   |  304  |9.216945e-06|9.827412e-06|3.249558e-10|   0   |
| 55  |True   |  334  |9.479282e-06|9.493808e-06|3.933411e-10|   0   |
| 53  |True   | 1566  |9.159341e-06|1.013952e-05|1.088203e-12|  80   |
| 56  |True   |  627  |9.926430e-06|1.036250e-05|1.925863e-10|  17   |
| 57  |True   |  623  |9.816030e-06|9.926357e-06|4.466547e-10|  16   |
| 58  |True   |  316  |9.452165e-06|9.827412e-06|6.160549e-10|   0   |
| 59  |True   |  412  |9.925248e-06|1.091341e-05|7.448283e-13|   3   |
| 60  |True   | 1250  |9.578347e-06|1.025840e-05|3.437076e-10|  55   |
| 61  |True   | 1119  |9.825131e-06|1.107812e-05|2.111117e-12|  43   |
| 62  |True   |  336  |9.452798e-06|9.657706e-06|5.845054e-10|   0   |
| 63  |True   |  586  |9.820508e-06|1.024458e-05|1.403292e-12|  15   |
| 64  |True   |  313  |9.919760e-06|1.091935e-05|5.606893e-10|   0   |
| 66  |True   |  588  |9.677625e-06|1.077408e-05|1.928933e-10|  15   |
| 65  |True   | 2008  |9.346658e-06|1.007007e-05|2.976483e-10|  98   |
| 67  |True   | 2375  |9.413039e-06|1.017332e-05|1.785966e-12|  110  |
| 68  |True   |  307  |9.635752e-06|9.827412e-06|5.061507e-10|   0   |
| 69  |True   |  345  |9.569845e-06|1.009837e-05|7.854468e-13|   0   |
| 70  |True   |  491  |9.673310e-06|1.054799e-05|2.895011e-10|   7   |
| 71  |True   |  318  |9.389876e-06|9.827412e-06|9.450177e-13|   0   |
| 72  |True   |  308  |9.094832e-06|9.827412e-06|7.302291e-10|   0   |
| 73  |True   |  882  |9.076740e-06|9.487407e-06|9.144898e-10|  26   |
| 75  |True   |  329  |9.818691e-06|9.873796e-06|8.479455e-13|   0   |
| 74  |True   | 1380  |9.380616e-06|9.697473e-06|7.824411e-10|  65   |
| 77  |True   |  588  |9.184926e-06|1.059104e-05|4.234738e-10|  14   |
| 76  |True   | 1419  |9.972324e-06|1.025421e-05|9.515814e-11|  60   |
| 78  |True   |  321  |9.064912e-06|9.979810e-06|3.992061e-10|   0   |
| 80  |True   |  628  |9.053473e-06|9.752852e-06|3.890983e-10|  15   |
| 79  |True   | 1511  |9.956954e-06|1.099136e-05|1.000492e-12|  79   |
| 82  |True   |  317  |9.112347e-06|9.317487e-06|3.956799e-10|   0   |
| 81  |True   |  769  |9.101815e-06|9.875055e-06|2.143175e-10|  27   |
| 84  |True   |  327  |9.026170e-06|9.578086e-06|5.454979e-10|   0   |
| 83  |True   |  670  |9.527901e-06|1.009635e-05|3.433496e-10|  18   |
| 85  |True   |  312  |9.207991e-06|1.009349e-05|8.218797e-13|   0   |
| 86  |True   |  303  |9.122243e-06|9.400155e-06|2.092634e-10|   0   |
| 87  |True   |  334  |9.431575e-06|9.850924e-06|5.281697e-10|   0   |
| 88  |True   |  306  |9.577176e-06|9.827412e-06|4.419828e-10|   0   |
| 90  |True   |  301  |9.870999e-06|1.029289e-05|2.835454e-10|   0   |
| 89  |True   |  913  |9.772627e-06|9.878725e-06|2.441347e-10|  32   |
| 91  |True   |  426  |9.142575e-06|9.482081e-06|1.431068e-10|   5   |
| 92  |True   |  410  |9.543128e-06|1.015935e-05|5.058903e-10|   4   |
| 93  |True   |  321  |9.020476e-06|9.827412e-06|7.748786e-13|   0   |
| 94  |True   |  320  |9.378870e-06|9.987777e-06|1.537755e-10|   0   |
| 95  |True   |  308  |9.084813e-06|9.386585e-06|4.721316e-10|   0   |
| 97  |True   |  325  |9.224831e-06|9.814985e-06|7.844987e-10|   0   |
| 96  |True   |  342  |9.278072e-06|9.577892e-06|1.345927e-12|   0   |
| 98  |True   |  353  |9.124966e-06|9.495960e-06|4.534782e-12|   0   |
| 99  |True   |  315  |9.839194e-06|1.091935e-05|7.099965e-10|   0   |
| 100 |True   |  347  |9.749539e-06|1.037670e-05|1.630205e-12|   0   |
| 101 |True   |  315  |9.226736e-06|1.091935e-05|6.903834e-13|   0   |
| 102 |True   |  334  |9.081546e-06|1.014585e-05|6.586018e-13|   0   |
| 103 |True   |  313  |9.559470e-06|1.013970e-05|5.144250e-10|   0   |
| 104 |True   |  310  |9.294071e-06|9.649359e-06|4.845455e-10|   0   |
| 105 |True   |  408  |9.067148e-06|9.442731e-06|9.818333e-13|   2   |
| 106 |True   |  330  |9.518492e-06|9.832339e-06|4.071334e-10|   0   |
| 107 |True   |  333  |9.211186e-06|9.431240e-06|7.979177e-10|   0   |
| 109 |True   |  324  |9.470020e-06|1.091935e-05|9.370450e-13|   0   |
| 108 |True   | 1055  |9.477356e-06|9.508153e-06|1.843441e-12|  40   |
| 110 |True   |  393  |9.356754e-06|1.129739e-05|2.242369e-10|   2   |
| 111 |True   |  336  |9.360848e-06|9.390393e-06|2.881795e-10|   0   |
| 112 |True   |  303  |9.857982e-06|9.971221e-06|2.150752e-10|   0   |
| 114 |True   |  304  |9.344640e-06|1.016026e-05|2.895642e-10|   0   |
| 113 |True   |  401  |9.882591e-06|1.013859e-05|4.985565e-10|   2   |
| 116 |True   |  395  |9.519242e-06|9.982852e-06|9.194854e-10|   2   |
| 115 |True   |  761  |9.735117e-06|1.031446e-05|2.223909e-10|  25   |
| 117 |True   |  322  |9.163633e-06|9.284889e-06|3.288519e-10|   0   |
| 119 |True   |  308  |9.487033e-06|1.002067e-05|2.261991e-10|   0   |
| 120 |True   |  312  |9.852956e-06|1.071523e-05|4.692925e-10|   0   |
| 121 |True   |  356  |9.673850e-06|9.691143e-06|1.447297e-10|   0   |
| 122 |True   |  606  |9.952713e-06|1.138019e-05|6.191312e-10|  16   |
| 123 |True   |  343  |9.051427e-06|9.818966e-06|4.260210e-10|   0   |
