|seed |success|  nit  |    gap     |  tau_sum   |   G_norm   |avoid_n|
|  9  |True   |  316  |9.758845e-06|9.979457e-06|1.618710e-10|   0   |
| 11  |True   |  412  |9.471712e-06|9.650127e-06|1.847439e-11|   2   |
| 12  |True   |  341  |9.959613e-06|9.992739e-06|1.099246e-10|   0   |
|  3  |True   |  557  |9.075400e-06|9.180993e-06|2.629212e-11|  10   |
|  4  |True   |  628  |9.082664e-06|9.158454e-06|1.267938e-10|  16   |
|  7  |True   |  657  |9.401487e-06|9.433572e-06|2.169553e-10|  18   |
|  5  |True   |  751  |9.875430e-06|9.885503e-06|6.151789e-11|  20   |
|  6  |True   |  768  |9.208375e-06|1.174588e-05|1.139517e-10|  23   |
| 14  |True   |  428  |9.648119e-06|9.748196e-06|3.582977e-10|   6   |
| 10  |True   | 1034  |9.736625e-06|9.779796e-06|6.265557e-11|  25   |
| 18  |True   |  353  |9.717120e-06|1.005475e-05|1.604826e-10|   1   |
|  0  |True   | 1277  |9.886952e-06|1.095560e-05|1.824699e-10|  50   |
| 16  |True   |  580  |9.473870e-06|9.810754e-06|1.891643e-10|  15   |
|  8  |True   | 1187  |9.474027e-06|9.685879e-06|1.962645e-10|  45   |
| 20  |True   |  351  |9.058689e-06|9.286328e-06|1.084481e-10|   1   |
| 17  |True   |  622  |9.411139e-06|9.738883e-06|9.226934e-10|  16   |
| 13  |True   | 1051  |9.695260e-06|9.710967e-06|1.925720e-10|  41   |
| 22  |True   |  345  |9.010303e-06|9.057390e-06|1.418070e-10|   1   |
| 15  |True   | 1029  |9.590310e-06|9.813913e-06|1.954990e-10|  38   |
| 25  |True   |  323  |9.952202e-06|1.022056e-05|9.464985e-10|   0   |
| 19  |True   |  702  |9.384931e-06|1.021465e-05|2.372644e-10|  17   |
|  1  |True   | 1902  |9.719908e-06|9.807691e-06|2.993089e-10|  77   |
| 23  |True   |  455  |9.903003e-06|9.978626e-06|4.531573e-10|   7   |
| 27  |True   |  350  |9.781215e-06|9.978588e-06|1.949661e-10|   0   |
| 28  |True   |  420  |9.973052e-06|1.069069e-05|1.410480e-10|   5   |
| 31  |True   |  376  |9.047864e-06|9.102244e-06|3.893071e-11|   0   |
| 35  |True   |  311  |9.250068e-06|9.430847e-06|1.307731e-10|   0   |
| 37  |True   |  575  |9.313141e-06|9.550961e-06|1.207396e-10|  12   |
| 33  |True   |  839  |9.895719e-06|1.008000e-05|1.266615e-11|  20   |
| 21  |True   | 1787  |9.528710e-06|9.570893e-06|4.710915e-10|  83   |
| 34  |True   | 1109  |9.436262e-06|1.003140e-05|1.946499e-10|  48   |
| 36  |True   | 1088  |9.640584e-06|1.009373e-05|1.863697e-10|  37   |
| 40  |True   |  448  |9.879621e-06|1.021905e-05|1.863923e-10|   4   |
| 41  |True   |  381  |9.315234e-06|9.692066e-06|4.568150e-11|   2   |
| 32  |True   | 1676  |9.702626e-06|9.908045e-06|4.279091e-11|  75   |
| 29  |True   | 1623  |9.322265e-06|1.052709e-05|1.358521e-10|  82   |
| 42  |True   |  625  |9.530834e-06|1.005591e-05|1.169129e-10|  18   |
|  2  |True   | 3918  |9.893635e-06|1.184705e-05|3.458079e-12|  172  |
| 44  |True   |  488  |9.568193e-06|9.586910e-06|1.498980e-10|   4   |
| 30  |True   | 2212  |9.003323e-06|9.016917e-06|5.554559e-10|  112  |
| 47  |True   |  368  |9.109801e-06|9.112583e-06|6.441209e-11|   1   |
| 48  |True   |  383  |9.093999e-06|9.204893e-06|8.644461e-11|   2   |
| 26  |True   | 2560  |9.958975e-06|1.004693e-05|3.694619e-10|  113  |
| 45  |True   |  823  |9.640221e-06|1.036300e-05|2.516335e-11|  23   |
| 50  |True   |  340  |9.279563e-06|9.345370e-06|1.695610e-10|   0   |
| 51  |True   |  408  |9.846494e-06|1.007326e-05|1.873791e-10|   3   |
| 53  |True   |  317  |9.228817e-06|9.270142e-06|1.880494e-11|   0   |
| 49  |True   |  806  |9.620962e-06|9.672658e-06|2.927650e-10|  16   |
| 52  |True   |  494  |9.213894e-06|9.583876e-06|6.828221e-11|   8   |
| 43  |True   | 1743  |9.548742e-06|9.564541e-06|4.668321e-10|  85   |
| 57  |True   |  656  |9.182733e-06|9.197156e-06|1.310665e-10|  13   |
| 55  |True   |  933  |9.458946e-06|9.606470e-06|3.712295e-11|  27   |
| 56  |True   |  915  |9.601886e-06|1.005210e-05|3.127882e-10|  35   |
| 63  |True   |  339  |9.779949e-06|9.910555e-06|1.940334e-10|   0   |
| 59  |True   |  871  |9.302446e-06|9.704098e-06|1.680487e-10|  26   |
| 46  |True   | 2080  |9.670921e-06|9.680109e-06|7.310179e-10|  100  |
| 64  |True   |  323  |9.695798e-06|9.767704e-06|1.548373e-10|   0   |
| 61  |True   |  857  |9.168658e-06|9.342820e-06|2.368163e-10|  19   |
| 62  |True   |  906  |9.877023e-06|1.029059e-05|1.506233e-10|  39   |
| 65  |True   |  426  |9.901836e-06|9.990950e-06|9.940819e-12|   3   |
| 54  |True   | 1748  |9.270575e-06|1.028415e-05|1.444135e-10|  86   |
| 66  |True   |  392  |9.950617e-06|9.986640e-06|7.110426e-11|   2   |
| 67  |True   |  410  |9.930599e-06|1.011276e-05|1.094284e-10|   0   |
| 60  |True   | 1376  |9.887557e-06|9.894059e-06|5.092623e-10|  52   |
| 71  |True   |  431  |9.168233e-06|9.185000e-06|2.047374e-11|   2   |
| 69  |True   |  435  |9.682527e-06|9.996637e-06|1.423840e-10|   7   |
| 39  |True   | 3674  |9.991950e-06|1.027984e-05|1.857022e-12|  189  |
| 24  |True   | 5540  |9.782494e-06|1.093019e-05|1.451165e-11|  297  |
| 73  |True   |  545  |9.744676e-06|1.009414e-05|1.756163e-10|  11   |
| 72  |True   |  825  |9.946781e-06|1.038875e-05|1.410017e-10|  33   |
| 74  |True   |  797  |9.045269e-06|9.079440e-06|2.449805e-10|  28   |
| 70  |True   |  979  |9.938314e-06|1.044583e-05|1.521914e-10|  41   |
| 58  |True   | 2189  |9.749357e-06|9.870238e-06|3.474463e-12|  118  |
| 76  |True   |  954  |9.630703e-06|9.645056e-06|1.396934e-10|  35   |
| 79  |True   |  523  |9.911943e-06|1.028280e-05|1.660285e-10|   9   |
| 38  |True   | 4759  |9.503875e-06|9.524088e-06|1.373572e-11|  255  |
