|seed |success|  nit  |    gap     |  tau_sum   |   G_norm   |avoid_n|
| 163 |True   |  357  |9.577164e-06|9.590069e-06|1.679484e-10|   0   |
| 42  |True   |  411  |9.954518e-06|1.004317e-05|1.314500e-10|   2   |
| 55  |True   |  570  |9.460256e-06|9.522058e-06|2.382148e-10|  11   |
| 76  |True   |  332  |9.077417e-06|9.104132e-06|1.348235e-10|   0   |
| 133 |True   |  305  |9.882669e-06|9.951746e-06|2.605849e-10|   0   |
| 129 |True   |  347  |9.449610e-06|9.525245e-06|1.860142e-10|   1   |
| 120 |True   |  354  |9.857411e-06|9.931720e-06|2.272547e-10|   0   |
| 90  |True   | 1343  |9.330974e-06|1.153755e-05|2.803056e-10|  57   |
| 73  |True   | 1061  |9.320767e-06|9.327150e-06|3.725995e-10|  34   |
| 30  |True   |  689  |9.168742e-06|9.191635e-06|3.121363e-10|  21   |
| 69  |True   |  367  |9.453995e-06|9.473750e-06|9.942191e-11|   0   |
| 178 |True   |  368  |9.932071e-06|9.943258e-06|2.605697e-10|   0   |
| 87  |True   |  399  |9.692973e-06|9.734005e-06|3.327294e-10|   2   |
| 29  |True   |  356  |9.025769e-06|9.116232e-06|3.005653e-10|   0   |
| 103 |True   | 1000  |9.233259e-06|9.381619e-06|9.927862e-10|  36   |
| 137 |True   |  351  |9.670295e-06|9.716545e-06|1.323506e-10|   0   |
| 112 |True   | 1229  |9.279320e-06|9.291129e-06|1.961246e-12|  48   |
| 136 |True   |  352  |9.858806e-06|9.904070e-06|3.389731e-10|   0   |
| 188 |True   |  313  |9.858344e-06|9.869694e-06|6.143786e-10|   0   |
| 85  |True   |  357  |9.257959e-06|9.285934e-06|1.648336e-10|   2   |
| 193 |True   |  384  |9.158096e-06|9.401553e-06|4.052818e-10|   1   |
| 101 |True   | 4336  |9.626735e-06|1.239111e-05|1.049531e-11|  229  |
| 181 |True   | 1516  |9.758574e-06|9.810683e-06|8.856036e-10|  65   |
| 157 |True   |  708  |9.834946e-06|1.000585e-05|6.931048e-10|  19   |
| 155 |True   |  432  |9.972924e-06|1.009906e-05|1.711525e-10|   7   |
| 72  |True   |  351  |9.336213e-06|9.402042e-06|1.662734e-10|   0   |
| 81  |True   |  339  |9.262118e-06|9.313945e-06|1.322807e-10|   0   |
| 50  |True   |  397  |9.809603e-06|9.811791e-06|1.049089e-10|   3   |
| 158 |True   |  324  |9.163217e-06|9.195638e-06|1.336406e-10|   0   |
| 22  |True   | 1324  |9.946132e-06|1.096770e-05|2.148085e-12|  55   |
| 167 |True   |  368  |9.533061e-06|9.581204e-06|3.520250e-10|   0   |
