|seed |success|  nit  |  mu_check  |   mu_sum   |   G_norm   | step_norm  |
|  0  |True   |  359  |9.535797e-06|1.348067e-05|2.840369e-13|3.627996e-08|
| 11  |True   |  299  |9.483309e-06|4.851149e-05|2.310421e-14|4.887162e-09|
|  1  |True   |  335  |9.202326e-06|1.497853e-05|1.025824e-12|5.575743e-08|
|  5  |True   |  342  |9.665899e-06|1.354216e-05|6.350493e-10|6.755800e-05|
|  2  |True   |  345  |9.839152e-06|1.348067e-05|3.160222e-13|3.927432e-08|
|  3  |True   |  328  |9.463167e-06|1.497853e-05|1.884609e-10|3.508393e-05|
|  4  |True   |  351  |9.302429e-06|1.407150e-05|5.645180e-10|6.182275e-05|
|  8  |True   |  329  |9.114953e-06|2.536627e-05|6.723911e-10|8.579345e-05|
|  6  |True   |  360  |9.593586e-06|1.209313e-05|6.855692e-10|7.440725e-05|
|  9  |True   |  316  |9.481302e-06|1.710910e-05|1.361781e-10|4.172937e-05|
| 10  |True   |  306  |9.964308e-06|1.294081e-05|6.670310e-10|2.447226e-08|
|  7  |True   |  376  |9.454268e-06|1.195430e-05|3.582700e-13|4.403415e-08|
| 12  |True   |  343  |9.691208e-06|1.497853e-05|9.746131e-10|1.170519e-04|
| 13  |True   |  332  |9.739444e-06|2.213269e-05|4.696762e-10|4.704328e-05|
| 14  |True   |  339  |9.849582e-06|1.234970e-05|7.274991e-10|7.666838e-05|
| 16  |True   |  287  |9.491372e-06|2.482072e-05|6.612776e-10|1.076417e-08|
| 20  |True   |  305  |9.486982e-06|1.503913e-05|5.739993e-10|8.272654e-06|
| 21  |True   |  334  |9.020629e-06|1.224668e-05|2.443681e-10|3.810518e-05|
| 18  |True   |  350  |9.325825e-06|1.182536e-05|6.526724e-10|7.273561e-05|
| 15  |True   |  374  |9.530200e-06|1.203022e-05|3.850337e-13|5.196963e-08|
| 17  |True   |  341  |9.768646e-06|1.664281e-05|9.516214e-10|1.307743e-04|
| 19  |True   |  349  |9.553559e-06|1.412205e-05|5.983909e-10|6.397554e-05|
| 23  |True   |  373  |9.674866e-06|1.228554e-05|6.898402e-10|7.420332e-05|
| 22  |True   |  340  |9.578858e-06|1.664281e-05|9.212897e-10|1.137287e-04|
| 24  |True   |  387  |9.375880e-06|1.187548e-05|6.587962e-10|7.304692e-05|
| 25  |True   |  348  |9.144735e-06|1.213261e-05|3.107570e-13|4.007542e-08|
| 26  |True   |  335  |9.462545e-06|1.201102e-05|3.566787e-13|5.594017e-08|
| 27  |True   |  346  |9.860263e-06|1.348067e-05|3.095029e-13|3.653793e-08|
| 29  |True   |  354  |9.892937e-06|1.380070e-05|6.651507e-10|6.937020e-05|
| 33  |True   |  323  |9.559751e-06|1.497853e-05|9.438328e-10|1.010050e-04|
