|seed |success|  nit  |  mu_check  |   mu_sum   |   G_norm   | step_norm  |
|  3  |True   |  333  |9.940872e-06|1.095651e-05|6.316580e-11|2.492502e-05|
|  1  |True   |  350  |9.952349e-06|1.072152e-05|7.722084e-11|2.915427e-05|
|  6  |True   |  327  |9.994362e-06|1.146777e-05|7.261463e-11|2.839456e-05|
|  5  |True   |  359  |9.723418e-06|1.074841e-05|7.669376e-12|2.552129e-10|
|  0  |True   |  341  |9.663200e-06|1.043239e-05|6.379225e-11|2.597203e-05|
|  8  |True   |  336  |9.886783e-06|1.065597e-05|7.289407e-11|2.873991e-05|
|  2  |True   |  334  |9.772099e-06|1.126973e-05|5.012197e-11|2.034020e-05|
|  9  |True   |  332  |9.916070e-06|1.216626e-05|7.401533e-11|2.882332e-05|
|  4  |True   |  362  |9.810007e-06|1.082291e-05|1.037139e-11|3.400171e-10|
|  7  |True   |  337  |9.973164e-06|1.074236e-05|6.305522e-11|2.300400e-05|
| 10  |True   |  336  |9.743952e-06|1.051314e-05|6.046983e-11|2.496556e-05|
| 11  |True   |  335  |9.658338e-06|1.042754e-05|6.873911e-11|2.882847e-05|
| 13  |True   |  353  |9.918352e-06|1.068754e-05|6.395964e-11|2.495628e-05|
| 15  |True   |  360  |9.777251e-06|1.092016e-05|4.472369e-12|1.485071e-10|
| 14  |True   |  329  |9.619770e-06|1.253805e-05|6.968154e-11|2.889654e-05|
| 12  |True   |  367  |9.667363e-06|1.091904e-05|5.122015e-12|2.501171e-10|
| 16  |True   |  356  |9.785124e-06|1.084469e-05|1.033688e-11|6.857365e-10|
| 18  |True   |  341  |9.974012e-06|1.078177e-05|4.649844e-11|1.442337e-05|
| 17  |True   |  357  |9.645217e-06|1.145808e-05|6.966555e-12|5.616003e-10|
| 19  |True   |  336  |9.907661e-06|1.067684e-05|7.307073e-11|2.879077e-05|
| 21  |True   |  334  |9.751403e-06|1.132990e-05|5.144629e-11|2.044158e-05|
| 20  |True   |  358  |9.651030e-06|1.107084e-05|8.165272e-12|6.555074e-10|
| 24  |True   |  334  |9.889906e-06|1.110532e-05|5.209162e-11|2.041062e-05|
| 25  |True   |  334  |9.722809e-06|1.091075e-05|5.932837e-11|2.491431e-05|
| 26  |True   |  364  |9.896651e-06|1.130425e-05|8.759469e-10|2.475385e-05|
| 22  |True   |  338  |9.683956e-06|1.045316e-05|5.839110e-11|2.491922e-05|
| 23  |True   |  344  |9.748503e-06|1.051769e-05|6.031951e-11|2.496166e-05|
| 27  |True   |  342  |9.833093e-06|1.060228e-05|6.145915e-11|2.492784e-05|
| 28  |True   |  334  |9.542982e-06|1.031218e-05|7.474307e-11|3.016627e-05|
| 31  |True   |  354  |9.903227e-06|1.180896e-05|6.484225e-12|5.300019e-10|
| 29  |True   |  484  |9.748735e-06|1.107488e-05|1.282945e-11|8.220427e-10|
| 30  |True   |  334  |9.760197e-06|1.053890e-05|6.030725e-11|2.496133e-05|
| 35  |True   |  343  |9.948784e-06|1.071797e-05|6.311896e-11|2.495216e-05|
| 32  |True   |  356  |9.898797e-06|1.190052e-05|6.811085e-12|7.564407e-10|
| 36  |True   |  334  |9.768926e-06|1.060484e-05|6.008764e-11|2.492515e-05|
| 34  |True   |  354  |9.983229e-06|1.075245e-05|4.665237e-11|1.442368e-05|
| 33  |True   |  564  |9.722551e-06|1.049173e-05|8.017788e-11|3.206661e-05|
| 37  |True   |  367  |9.959660e-06|1.087999e-05|4.215927e-12|7.736444e-10|
| 38  |True   |  366  |9.971095e-06|1.079929e-05|4.395631e-12|1.091789e-09|
| 40  |True   |  366  |9.681695e-06|1.141324e-05|7.130115e-10|2.039026e-05|
| 39  |True   |  358  |9.871190e-06|1.119898e-05|2.284450e-12|1.492447e-10|
| 44  |True   |  356  |9.882849e-06|1.149803e-05|5.788971e-12|2.690538e-10|
| 43  |True   |  348  |9.950261e-06|1.383264e-05|9.230731e-12|2.868540e-10|
| 46  |True   |  362  |9.637769e-06|1.085111e-05|9.965459e-12|9.100479e-10|
| 42  |True   |  382  |9.570442e-06|1.059906e-05|7.608967e-12|8.881492e-10|
| 45  |True   |  338  |9.694942e-06|1.046414e-05|6.904833e-11|2.858748e-05|
| 47  |True   |  331  |9.774345e-06|1.269813e-05|6.014706e-11|2.496762e-05|
| 41  |True   |  782  |9.450371e-06|1.304376e-05|2.631779e-12|2.478019e-10|
| 49  |True   |  342  |9.898271e-06|1.066748e-05|6.252459e-11|2.484481e-05|
| 50  |True   |  340  |9.942114e-06|1.071132e-05|4.669667e-11|1.450221e-05|
| 51  |True   |  408  |9.669888e-06|1.069511e-05|4.993185e-12|1.329507e-09|
| 52  |True   |  371  |9.765980e-06|1.123704e-05|5.144975e-12|4.539853e-10|
| 53  |True   |  358  |9.629328e-06|1.076895e-05|3.005202e-12|2.578503e-09|
| 54  |True   |  356  |9.549399e-06|1.130800e-05|6.253895e-12|3.809982e-10|
| 56  |True   |  334  |9.966168e-06|1.100772e-05|7.406849e-11|2.877937e-05|
| 58  |True   |  342  |9.684127e-06|1.045333e-05|5.848695e-11|2.496296e-05|
| 48  |True   | 1209  |9.826072e-06|1.059529e-05|4.339807e-11|1.439664e-05|
| 55  |True   |  652  |9.962743e-06|1.073195e-05|6.458923e-11|2.492889e-05|
| 60  |True   |  336  |9.713972e-06|1.048318e-05|5.066933e-11|2.039090e-05|
| 59  |True   |  340  |9.806284e-06|1.057549e-05|5.226675e-11|2.037488e-05|
| 57  |True   |  663  |9.830586e-06|1.059978e-05|6.157071e-11|2.495912e-05|
| 62  |True   |  345  |9.753813e-06|1.052298e-05|8.112450e-11|3.219501e-05|
| 63  |True   |  336  |9.681927e-06|1.045108e-05|9.066873e-11|3.525888e-05|
| 61  |True   |  332  |9.802888e-06|1.224444e-05|6.133368e-11|2.496392e-05|
| 64  |True   |  356  |9.989016e-06|1.189231e-05|5.848214e-12|8.297620e-10|
| 65  |True   |  362  |9.978128e-06|1.099744e-05|5.042925e-12|2.160273e-10|
| 66  |True   |  340  |9.693050e-06|1.046226e-05|4.934267e-11|2.038106e-05|
| 67  |True   |  342  |9.756749e-06|1.052594e-05|6.026361e-11|2.495704e-05|
| 69  |True   |  336  |9.797325e-06|1.056652e-05|6.135218e-11|2.495430e-05|
| 68  |True   |  381  |9.883653e-06|1.097486e-05|6.581519e-12|1.694226e-09|
| 70  |True   |  360  |9.849824e-06|1.110794e-05|9.087348e-12|3.687156e-10|
| 71  |True   |  349  |9.723326e-06|1.131205e-05|3.373192e-10|2.513208e-05|
| 72  |True   |  352  |9.971949e-06|1.277457e-05|3.011848e-12|4.304350e-10|
| 74  |True   |  341  |9.790020e-06|1.055920e-05|7.091623e-11|2.875855e-05|
| 73  |True   |  359  |9.660302e-06|1.178262e-05|4.048511e-12|1.731475e-09|
| 76  |True   |  339  |9.573605e-06|1.034279e-05|7.536968e-11|3.062755e-05|
| 75  |True   |  336  |9.917564e-06|1.097627e-05|6.251292e-11|2.496457e-05|
| 78  |True   |  339  |9.863655e-06|1.071485e-05|6.171463e-11|2.496356e-05|
| 77  |True   |  414  |9.801870e-06|1.081602e-05|1.120701e-11|1.145640e-08|
| 79  |True   |  340  |9.876701e-06|1.064588e-05|7.228787e-11|2.879694e-05|
| 81  |True   |  376  |9.947874e-06|1.114858e-05|4.104638e-12|3.183534e-09|
| 83  |True   |  333  |9.969338e-06|1.115356e-05|6.393126e-11|2.485913e-05|
| 82  |True   |  366  |9.753080e-06|1.175275e-05|3.806884e-12|1.147856e-08|
| 80  |True   |  449  |9.749562e-06|1.051874e-05|7.119111e-11|2.884431e-05|
| 84  |True   |  347  |9.666384e-06|1.043558e-05|5.416009e-11|2.180777e-05|
| 86  |True   |  338  |9.990859e-06|1.076002e-05|8.488936e-11|3.218333e-05|
| 89  |True   |  336  |9.772950e-06|1.082532e-05|5.162200e-11|2.037583e-05|
| 85  |True   |  335  |9.764666e-06|1.055794e-05|4.932085e-11|1.818016e-05|
| 87  |True   |  333  |9.866861e-06|1.136269e-05|7.244909e-11|2.877176e-05|
