|seed |success|  nit  |  mu_check  |   mu_sum   |   G_norm   | step_norm  |
|  9  |True   |  356  |9.900693e-06|1.011623e-05|1.067268e-11|3.988101e-05|
|  1  |True   |  391  |9.988244e-06|1.010330e-05|1.915040e-11|4.185468e-05|
|  6  |True   |  359  |9.977145e-06|1.013522e-05|2.699572e-11|6.440923e-05|
|  8  |True   |  363  |9.982928e-06|1.032770e-05|1.466377e-11|5.060026e-05|
|  3  |True   |  370  |9.983877e-06|1.011535e-05|3.594855e-11|7.126523e-05|
|  5  |True   |  398  |9.999344e-06|1.009835e-05|1.162936e-11|2.781036e-05|
|  2  |True   |  379  |9.950095e-06|1.004910e-05|9.731938e-12|2.727797e-05|
|  4  |True   |  380  |9.948494e-06|1.005767e-05|1.407210e-11|3.541998e-05|
|  0  |True   |  395  |9.980636e-06|1.007963e-05|1.853470e-11|4.152882e-05|
| 11  |True   |  398  |9.891265e-06|1.028645e-05|1.279593e-11|4.273942e-05|
| 10  |True   |  372  |9.997824e-06|1.017179e-05|1.541510e-11|4.419389e-05|
| 12  |True   |  386  |9.925349e-06|1.002435e-05|1.689262e-11|3.949271e-05|
|  7  |True   |  482  |9.965315e-06|1.006431e-05|1.598852e-11|3.737375e-05|
| 14  |True   |  387  |9.958474e-06|1.012285e-05|1.351589e-11|4.027236e-05|
| 19  |True   |  388  |9.998281e-06|1.009921e-05|1.573418e-11|3.701457e-05|
| 24  |True   |  408  |9.994995e-06|1.012650e-05|1.634463e-11|4.423603e-05|
| 20  |True   |  375  |9.966431e-06|1.019961e-05|1.073995e-11|3.610574e-05|
| 18  |True   |  365  |9.916678e-06|1.006697e-05|1.350744e-11|4.074219e-05|
| 13  |True   |  391  |9.972090e-06|1.007109e-05|1.767646e-11|3.939907e-05|
| 17  |True   |  381  |9.989535e-06|1.010598e-05|1.883505e-11|4.176590e-05|
| 16  |True   |  356  |9.960949e-06|1.012974e-05|1.668299e-11|5.075156e-05|
| 22  |True   |  362  |9.954015e-06|1.014126e-05|1.663657e-11|4.553650e-05|
| 23  |True   |  382  |9.964927e-06|1.007397e-05|1.294283e-11|3.351065e-05|
| 21  |True   |  381  |9.964074e-06|1.006925e-05|1.260114e-11|3.244907e-05|
| 15  |True   |  389  |9.997373e-06|1.009638e-05|1.172955e-11|2.811747e-05|
| 25  |True   |  473  |9.908201e-06|1.012956e-05|1.427269e-11|4.434302e-05|
| 30  |True   |  380  |9.952610e-06|1.005160e-05|2.565675e-11|4.996349e-05|
| 31  |True   |  383  |9.970608e-06|1.006961e-05|1.379194e-11|3.340806e-05|
| 28  |True   |  363  |9.973469e-06|1.014263e-05|1.206948e-11|3.608512e-05|
| 34  |True   |  388  |9.967102e-06|1.006609e-05|2.137508e-11|4.606466e-05|
| 27  |True   |  398  |9.974141e-06|1.007314e-05|1.242261e-11|2.931596e-05|
| 29  |True   |  403  |9.934093e-06|1.003308e-05|2.070254e-11|4.435564e-05|
| 36  |True   |  412  |9.993492e-06|1.009249e-05|1.646391e-11|3.724291e-05|
| 32  |True   |  473  |9.997516e-06|1.022685e-05|1.722299e-11|4.840629e-05|
| 37  |True   |  401  |9.925786e-06|1.002479e-05|1.302957e-11|3.103994e-05|
| 38  |True   |  357  |9.966123e-06|1.020223e-05|2.004235e-11|5.248900e-05|
| 43  |True   |  382  |9.999668e-06|1.020076e-05|1.325901e-11|3.799568e-05|
| 39  |True   |  374  |9.875262e-06|1.004710e-05|2.173593e-11|5.706475e-05|
| 41  |True   |  369  |9.902075e-06|1.002619e-05|1.664288e-11|4.415182e-05|
| 40  |True   |  383  |9.948003e-06|1.013207e-05|1.658866e-11|4.549890e-05|
| 44  |True   |  367  |9.954617e-06|1.011037e-05|1.698319e-11|4.712209e-05|
| 42  |True   |  387  |9.962461e-06|1.006146e-05|1.547060e-11|3.710744e-05|
| 46  |True   |  352  |9.984025e-06|1.023232e-05|2.724206e-11|6.661978e-05|
| 45  |True   |  369  |9.978942e-06|1.023713e-05|1.934855e-11|5.751823e-05|
| 47  |True   |  395  |9.998984e-06|1.009797e-05|2.215527e-11|4.589827e-05|
| 48  |True   |  390  |9.987163e-06|1.009519e-05|1.280155e-11|3.243847e-05|
| 51  |True   |  392  |9.960331e-06|1.005934e-05|1.547844e-11|3.614034e-05|
| 50  |True   |  353  |9.885761e-06|1.018776e-05|1.899440e-11|4.919922e-05|
| 49  |True   |  362  |9.919169e-06|1.007313e-05|1.602020e-11|4.596366e-05|
| 54  |True   |  387  |9.898016e-06|1.002238e-05|1.896762e-11|4.735430e-05|
| 55  |True   |  368  |9.948672e-06|1.009609e-05|1.766381e-11|4.706041e-05|
| 53  |True   |  378  |9.961104e-06|1.006010e-05|1.799840e-11|4.153762e-05|
| 56  |True   |  354  |9.912211e-06|1.007256e-05|1.070433e-11|3.628947e-05|
| 58  |True   |  371  |9.965820e-06|1.006481e-05|2.567502e-11|4.902856e-05|
| 57  |True   |  371  |9.936867e-06|1.008003e-05|1.034882e-11|3.192432e-05|
| 59  |True   |  357  |9.975608e-06|1.017689e-05|1.933680e-11|5.219565e-05|
| 35  |True   | 2133  |9.988090e-06|1.009331e-05|1.042930e-11|2.710990e-05|
| 61  |True   |  395  |9.949921e-06|1.004892e-05|1.477550e-11|3.686060e-05|
| 52  |True   | 1153  |9.988506e-06|1.008753e-05|6.571273e-12|1.491223e-05|
| 62  |True   |  367  |9.899981e-06|1.010447e-05|1.332938e-11|4.168429e-05|
| 60  |True   |  582  |9.975215e-06|1.018091e-05|2.847726e-12|1.643552e-05|
