|seed |success|  nit  |  mu_check  |   mu_sum   |   G_norm   | step_norm  |
|  3  |True   |  415  |9.961653e-06|1.001140e-05|4.948617e-12|3.228496e-05|
|  4  |True   |  409  |9.982502e-06|1.003225e-05|4.096805e-12|2.551111e-05|
|  7  |True   |  443  |9.963692e-06|1.001344e-05|5.623759e-12|3.535616e-05|
|  8  |True   |  471  |9.974911e-06|1.004305e-05|3.614077e-10|3.533181e-05|
| 11  |True   |  493  |9.969789e-06|1.002923e-05|1.924176e-10|2.753552e-05|
|  9  |True   |  472  |9.992160e-06|1.005931e-05|2.771671e-10|3.230527e-05|
|  6  |True   |  472  |9.961430e-06|1.002745e-05|4.287697e-10|3.833327e-05|
| 12  |True   |  502  |9.973107e-06|1.007153e-05|3.920664e-10|4.326063e-05|
|  5  |True   |  488  |9.979883e-06|1.003844e-05|3.836485e-10|4.132353e-05|
|  2  |True   |  515  |9.991536e-06|1.007557e-05|4.946293e-10|4.631281e-05|
| 10  |True   |  490  |9.955869e-06|1.004128e-05|3.579594e-10|4.078379e-05|
|  1  |True   |  580  |9.954075e-06|1.011324e-05|2.329051e-10|3.587241e-05|
|  0  |True   |  903  |9.991955e-06|1.010557e-05|3.595967e-10|5.518855e-03|
| 14  |True   |  413  |9.969839e-06|1.001959e-05|5.056153e-12|3.227213e-05|
| 13  |True   |  414  |9.991617e-06|1.004136e-05|6.584932e-12|3.703373e-05|
| 15  |True   |  425  |9.979320e-06|1.002907e-05|5.834681e-12|3.553902e-05|
| 19  |True   |  423  |9.960869e-06|1.001062e-05|6.203961e-12|3.775555e-05|
| 20  |True   |  469  |9.962399e-06|1.005116e-05|1.368971e-10|3.533655e-05|
| 21  |True   |  469  |9.976088e-06|1.009554e-05|2.228902e-10|3.924613e-05|
| 18  |True   |  472  |9.991808e-06|1.012343e-05|3.395013e-10|4.328611e-05|
| 23  |True   |  413  |9.967184e-06|1.001693e-05|5.124094e-12|3.220829e-05|
| 22  |True   |  465  |9.954102e-06|1.007988e-05|1.739290e-10|3.816703e-05|
| 16  |True   |  860  |9.986340e-06|1.003609e-05|3.271116e-12|2.039564e-05|
| 24  |True   |  799  |9.982160e-06|1.004909e-05|1.558849e-10|6.355374e-05|
| 27  |True   |  405  |9.999710e-06|1.004945e-05|8.430521e-12|4.175169e-05|
| 26  |True   |  411  |9.988185e-06|1.003793e-05|7.930669e-12|4.228324e-05|
| 28  |True   |  468  |9.987444e-06|1.006587e-05|4.939941e-10|3.819168e-05|
| 17  |True   | 1235  |9.990177e-06|1.123235e-05|4.073444e-10|7.784761e-04|
| 29  |True   |  466  |9.975088e-06|1.002578e-05|4.111998e-11|3.816644e-05|
| 25  |True   |  670  |9.992927e-06|1.014405e-05|2.928672e-10|1.615113e-05|
| 30  |True   |  476  |9.978765e-06|1.005592e-05|3.550974e-10|3.514642e-05|
| 32  |True   |  475  |9.976129e-06|1.010348e-05|6.129175e-10|5.263503e-05|
| 31  |True   |  434  |9.964974e-06|1.001472e-05|5.659678e-12|3.533372e-05|
| 33  |True   |  481  |9.972153e-06|1.002332e-05|5.731769e-11|3.543077e-05|
| 36  |True   |  465  |9.961559e-06|1.009576e-05|1.787330e-10|4.587020e-05|
| 35  |True   |  474  |9.962134e-06|1.005797e-05|2.217285e-10|3.610406e-05|
| 34  |True   |  861  |9.991808e-06|1.004156e-05|2.872096e-12|1.442519e-05|
| 40  |True   |  483  |9.995672e-06|1.009116e-05|5.991024e-10|4.569145e-05|
| 37  |True   |  596  |9.982392e-06|1.012400e-05|2.744970e-10|4.046813e-05|
| 41  |True   |  433  |9.949254e-06|9.999001e-06|6.302670e-12|3.842394e-05|
| 42  |True   |  478  |9.982044e-06|1.004546e-05|3.124006e-10|3.536895e-05|
